Name,Discount_price,Old_price,Rating_stars
"8 Pin Female to USB-C / Type-C Male Adapter Gen2, Supports PD for iPhone 15 Series","₦ 6,005",,No rating
Usb Charging Cable for Sony Ericsson K758 K770 K770i K790 K790i K800 K800i K810 K810i K850 K850i M600 M600i M608 P1 P1i-cable-CAR Charging,"₦ 46,246",,No rating
1PC  Sale  High Quality For IPhone 12 11 Pro Max Fast Charger PD Plug Adapter 30 TypeC Cable Adaptersilver,"₦ 95,124",,No rating
80W OPPO Supervooc Charger EU/US Fast Charging Adapter Usb Type C Cable For,"₦ 48,539",,No rating
Universal Plug To US Plug Adapter Power Socket,"₦ 3,630",,5
Mini Android Style Micro USB OTG USB Drive Reader,"₦ 1,010",,No rating
2A Micro USB To USB Aluminum Alloy Hose OTG Cable,"₦ 5,686",,No rating
Ear Hook Replacement Part for PowerBeats 3 Wireless In-Ear Headphone Earphone ---White/Green/Red/Pink/Blue/Brick Red White,"₦ 29,400",,No rating
Ipartsbuy for Samsung Galaxy S7 Edge / G935F LCD Screen + Touch Screen with Frame & Charging Port Board & Volume Button & Power Button(Gold),"₦ 229,500",,No rating
New Arrival Hot Sales Qi Wireless Power Charger Charging Pad For Mobile Phones Wish First MEIfang Wireless Charger FOR SAMSUNG GALAXY S6 S7 - White,"₦ 22,950",,No rating
80W OPPO Supervooc Charger EUUS Fast Charging Adapter Usb,"₦ 417,901",,No rating
100 W/20-A 20-Port USB Charger Station Multiple USB Fast,"₦ 72,752",,No rating
Meenova Lightning-to-MicroUSB USB DAC OTG Cable For IPhone/iPad/iPod Chord Mojo Hugo Pha3 Fiio HiFi Oppo HA2 K5 Camera 15cm 1.2m-L To Type-C OTG 1.2m,"₦ 105,300",,No rating
For Xiaomi 33W 67W 120W Turbo Fast Charger For Mi 12 11 10,"₦ 59,340",,No rating
LCD Screen and Digitizer Fullembly with Frame for BlackBerry Z10 4GWhite,"₦ 47,613",,No rating
Wireless Wifi HDMICompatible Video Adapter Display Dongle,"₦ 51,095",,No rating
Usb Charging Cable For Sony Ericsson W715 W715i W760 W760i W800 W800i W810 W810i W830 W830i W850 W850i W880 W880i W888 W890cableUK PLUG,"₦ 108,684",,No rating
Anker 735 Charger (GaNPrime 65W),"₦ 75,600",,No rating
Computer Bluetooth Adapter 5.0 USB Desktop Dongle WiFi Audio Receiver Transmitter,"₦ 4,310",,No rating
Maphie 10000mAh Fast Charging Powerbank,"₦ 11,399",,No rating
IPhone Wireless CarPlay Adapter/Dongle IPhone Wired To,"₦ 114,340",,No rating
For Lightning To 3.5mm Jack Car Audio Cable For IPhone 14,"₦ 27,140",,No rating
1pcs Type C Adapter Female To Female Converter Portable U SBC Charge Adapter TypeC Extension Cable For Phone Tablets Laptopsblack,"₦ 63,754",,No rating
Magnetic Cable Micro USB Type C Magnetic Charge Charger Cable For IPhone Huawei Samsung Android Mobile Phone 1m Cablefor Iphone,"₦ 63,754",,No rating
Type C To Micro Usb Converter Cable Type C To USB 3.0 OTG Adapter Charging Cable For MacbookPro Xiaomi Huawei Samsung ChargerTypeCUSB Black,"₦ 25,225",,No rating
Lightning to USB Camera Adapter OTG Memory Reader SD TF Card Reader with Charging Port for ad/hone 13 Pro/12/11/X/XR/8/7/6-Type 4,"₦ 132,212",,No rating
US Plug charger For Samsung Galaxy J4 J6 A6 Plus A7 J7 J3 J8 A2 2018 S6 S7 Edge,"₦ 33,619",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 48,000",,No rating
Wireless Microphone Type C Android And IPhone,"₦ 26,800",,No rating
2 In 1 Lightning To Hdmi Digital Av Adapter For Iphone 12,"₦ 29,900",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
"Micro USB 2.0 Magnetic Adapter For Android Huawei USB Cable, Magnetic Charger For Redmi LG Moto Xiaomi HONOR Charging4G TypeC Adapter","₦ 183,107",,No rating
LONIO Superior Car Bluetooth Transmitter Triple Charger,"₦ 15,500",,No rating
Aluminum Alloy USB-C / Type-C 3.1 Male To USB 3.0 Female Data / Charger Adapter(Silver),"₦ 1,920",,4
RJ45 Ethernet Lightning To HDMI Adapter 1080P HD Network Wired Adapter Charging Converter For IPhone IPad TV Keyboard MouseStyle 8,"₦ 89,891",,No rating
USB DATA Charger Cable For Asus Eee Pad Transformer TF101 TF201 TabletBlack,"₦ 25,078",,No rating
2PCS/set  AUX Wireless Bluetooth Speaker Receiver Transmitter Audio Black,"₦ 13,000",,No rating
8Pin To USB 3.0 OTG Adapter Cable For IPhone 13 12 11 Pro Max Xs XR 7 8 Plus IPad For IOS 13 Above For Mouse Camera Card ReaderGold,"₦ 40,192",,No rating
"Lightning SD Card Reader For IPhone 11 Pro Max,iPad,OTG Adapter,  Camera Dongle 128gb 200gb Camera Video Po File IOS13.1","₦ 53,055",,No rating
80W OPPO Supervooc Charger EUUS Fast Charging Adapter Usb,"₦ 111,690",,No rating
100W USB Type C Magnetic Cable Adapter Cable Converter For Ipad Pro Macbook 2019 2018 Magnet Adapter Cable Connector Bent,"₦ 204,797",,No rating
DIY Practical Universal Hybrid Sim Slot Dual SIM Extender,"₦ 27,140",,No rating
8 Pin OTG Adapter (Silver),"₦ 11,928",,No rating
