Name,Discount_price,Old_price,Rating_stars
"Bruhm 32"" Inch LED TV + FREE Wall Bracket","₦ 185,000",No old_price,No rating
Samsung 32 Inch Class HDR HD Smart LED TV.,"₦ 240,000","₦ 299,000",No rating
TCL 98 INCHES UHD  HDR QLED GOOGLE  TELEVISION,"₦ 3,999,500","₦ 5,499,000",No rating
TCL 65 Inch UHD Ultra Slim 4K QLED Smart HDR Google TV,"₦ 1,200,000","₦ 3,000,000",No rating
Syinix 65'' QLED Google TV- Frameless Design -AI Beauty&Dolby Atmos,"₦ 915,000","₦ 1,090,000",No rating
Hd Box H265 +2set Of Free To Air Satellite Kits,"₦ 50,000","₦ 51,000",3
Samsung 43 Inch UHD Crystal Certified Ultra High Definition Smart 4K TV,"₦ 650,000","₦ 1,270,000",No rating
TCL 55 Inch Class UHD Android 4K HDR Smart Google TV,"₦ 700,000","₦ 1,000,000",No rating
"Samsung Q60D 65"" Class HDR 4K Ultra HD 2024 Model Smart QLED TV","₦ 1,700,000","₦ 3,000,000",5
"Samsonic 32"" Inches Smart Full HD LED TV+ Free Wall Hanger","₦ 175,500","₦ 195,000",No rating
Samsung 43 Inch Full HD LED Ultra Slim Smart TV- Black,"₦ 500,000","₦ 899,000",No rating
4k Ucd Android Tv Box Multimedia Gateway - Internet Tv,"₦ 34,500",No old_price,No rating
Viewsat 2030 Free To Air Digital Satellite Channels Decoder,"₦ 30,000","₦ 30,100",1
Viewsat 4922 Free To Air Receiver Digital Satellite Channels Decoder,"₦ 30,000","₦ 35,500",No rating
LG DVD Player DV 2608 USB Black,"₦ 22,800","₦ 27,000",4.5
"LG NanoCell TV 55 Inch , 4K Active  WebOS Smart ThinQ AI","₦ 1,569,990","₦ 1,900,000",No rating
Samsung SMART 43 Inch Full HD LED TV,"₦ 459,000",No old_price,5
Samsung 75 Inch Class QLED 4K QN85D Series Neo Quantum HDR Smart TV,"₦ 5,000,000","₦ 8,800,000",No rating
